episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,84,84,pair_003_n5_003_conflict,conflict,1,0,0,12.420000000000002,0.29986166666666664,1344,4032,52,0,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0
1,173,89,pair_002_n5_002_conflict,conflict,1,0,0,12.370000000000001,0.29971333333333333,2768,8304,91,1,45,0,0,0,0.0,1,1,0,0,0,1,0,1,1
2,307,134,pair_014_n5_014_conflict,conflict,1,0,0,11.920000000000002,0.29949,4912,14736,197,6,150,0,0,0,0.0,13,13,0,0,0,13,0,13,6
3,397,90,pair_005_n3_005_control,control,1,0,0,12.360000000000003,0.29934,6352,19056,256,10,265,0,0,0,0.0,16,16,0,0,0,16,0,16,9
4,505,108,pair_001_n5_001_conflict,conflict,1,0,0,12.180000000000001,0.29916,8080,24240,332,11,419,0,0,0,0.0,22,22,0,0,0,22,0,22,13
5,594,89,pair_001_n3_001_conflict,conflict,1,0,0,12.370000000000001,0.2990116666666667,9504,28512,390,11,599,0,0,0,0.0,22,22,0,0,0,22,0,22,13
6,703,109,pair_004_n3_004_control,control,1,0,0,12.170000000000002,0.29883,11248,33744,460,11,867,0,0,0,0.0,23,23,0,0,0,23,0,23,14
7,799,96,pair_004_n5_004_conflict,conflict,1,0,0,12.300000000000002,0.29867,12784,38352,508,12,1156,0,0,0,0.0,27,27,0,0,0,27,0,27,14
8,918,119,pair_004_n5_004_control,control,1,0,0,12.07,0.29847166666666664,14688,44064,559,13,1506,0,0,0,0.0,29,29,0,0,0,29,0,29,14
9,1003,85,pair_011_n5_011_control,control,1,0,0,12.410000000000002,0.29833,16048,48144,624,13,1769,0,0,0,0.0,29,29,0,0,0,29,0,29,14
10,1115,112,pair_003_n3_003_conflict,conflict,1,0,0,12.14,0.2981433333333333,17840,53520,672,15,2154,0,0,0,0.0,31,31,0,0,0,31,0,31,14
11,1240,125,pair_005_n5_005_conflict,conflict,1,0,0,12.010000000000002,0.297935,19840,59520,774,16,2660,0,0,0,0.0,32,32,0,0,0,32,0,32,14
12,1342,102,pair_001_n3_001_control,control,1,0,0,12.240000000000002,0.297765,21472,64416,825,17,3093,0,0,0,0.0,35,35,0,0,0,35,0,35,17
13,1426,84,pair_006_n5_006_control,control,1,0,0,12.420000000000002,0.297625,22816,68448,907,19,3471,0,0,0,0.0,38,38,0,0,0,38,0,38,17
14,1512,86,pair_016_n5_016_control,control,1,0,0,12.400000000000002,0.29748166666666664,24192,72576,961,21,3920,0,0,0,0.0,40,40,0,0,0,40,0,40,17
15,1591,79,pair_007_n5_007_control,control,1,0,0,12.470000000000002,0.29735,25456,76368,1017,21,4343,0,0,0,0.0,42,42,0,0,0,42,0,42,17
16,1691,100,pair_007_n3_007_conflict,conflict,1,0,0,12.260000000000002,0.2971833333333333,27056,81168,1051,22,4908,0,0,0,0.0,44,44,0,0,0,44,0,44,17
17,1792,101,pair_008_n5_008_control,control,1,0,0,12.250000000000002,0.297015,28672,86016,1137,23,5538,0,0,0,0.0,47,47,0,0,0,47,0,47,17
18,1903,111,pair_000_n3_000_conflict,conflict,1,0,0,12.150000000000002,0.29683,30448,91344,1203,23,6232,0,0,0,0.0,47,47,0,0,0,47,0,47,17
19,1982,79,pair_011_n3_011_conflict,conflict,1,0,0,12.470000000000002,0.29669833333333334,31712,95136,1253,23,6781,0,0,0,0.0,48,48,0,0,0,48,0,48,17
20,2084,102,pair_010_n3_010_control,control,1,0,0,12.240000000000002,0.29652833333333334,33344,100032,1310,24,7545,0,0,0,0.0,53,53,0,0,0,53,0,53,17
21,2186,102,pair_002_n3_002_control,control,1,0,0,12.240000000000002,0.29635833333333333,34976,104928,1366,25,8267,0,0,0,0.0,55,55,0,0,0,55,0,55,17
22,2279,93,pair_017_n5_017_conflict,conflict,1,0,0,12.330000000000002,0.2962033333333333,36464,109392,1429,26,8952,0,0,0,0.0,56,56,0,0,0,56,0,56,17
23,2360,81,pair_016_n3_016_conflict,conflict,1,0,0,12.450000000000001,0.2960683333333333,37760,113280,1468,26,9575,0,0,0,0.0,56,56,0,0,0,56,0,56,17
24,2465,105,pair_012_n5_012_conflict,conflict,1,0,0,12.21,0.29589333333333334,39440,118320,1544,30,10402,0,0,0,0.0,60,60,0,0,0,60,0,60,17
25,2576,111,pair_000_n3_000_control,control,1,0,0,12.150000000000002,0.2957083333333333,41216,123648,1605,32,11345,0,0,0,0.0,63,63,0,0,0,63,0,63,17
26,2672,96,pair_007_n3_007_control,control,1,0,0,12.3,0.2955483333333333,42752,128256,1685,35,12175,0,0,0,0.0,69,69,0,0,0,69,0,69,18
27,2745,73,pair_008_n3_008_conflict,conflict,1,0,0,12.530000000000001,0.29542666666666667,43920,131760,1721,35,12864,0,0,0,0.0,70,70,0,0,0,70,0,70,18
28,2836,91,pair_012_n3_012_control,control,1,0,0,12.350000000000001,0.295275,45376,136128,1765,35,13706,0,0,0,0.0,71,71,0,0,0,71,0,71,18
29,2951,115,pair_010_n5_010_control,control,1,0,0,12.110000000000001,0.2950833333333333,47216,141648,1834,35,14871,0,0,0,0.0,71,71,0,0,0,71,0,71,18
30,3034,83,pair_015_n3_015_conflict,conflict,1,0,0,12.430000000000001,0.294945,48544,145632,1866,36,15754,0,0,0,0.0,73,73,0,0,0,73,0,73,18
31,3142,108,pair_013_n5_013_conflict,conflict,1,0,0,12.180000000000001,0.294765,50272,150816,1923,38,16857,0,0,0,0.0,78,78,0,0,0,78,0,78,18
32,3234,92,pair_006_n3_006_conflict,conflict,1,0,0,12.340000000000002,0.29461166666666666,51744,155232,1967,38,17806,0,0,0,0.0,79,79,0,0,0,79,0,79,18
33,3336,102,pair_000_n5_000_conflict,conflict,1,0,0,12.240000000000002,0.29444166666666666,53376,160128,2024,39,18881,0,0,0,0.0,81,81,0,0,0,81,0,81,18
34,3438,102,pair_006_n3_006_control,control,1,0,0,12.240000000000002,0.29427166666666665,55008,165024,2070,40,20037,0,0,0,0.0,83,83,0,0,0,83,0,83,18
35,3534,96,pair_011_n5_011_conflict,conflict,1,0,0,12.3,0.29411166666666666,56544,169632,2154,41,21077,0,0,0,0.0,87,87,0,0,0,87,0,87,18
36,3624,90,pair_010_n3_010_conflict,conflict,1,0,0,12.360000000000001,0.2939616666666667,57984,173952,2202,41,22195,0,0,0,0.0,87,87,0,0,0,87,0,87,18
37,3721,97,pair_003_n3_003_control,control,1,0,0,12.290000000000001,0.2938,59536,178608,2252,41,23412,0,0,0,0.0,87,87,0,0,0,87,0,87,18
38,3821,100,pair_005_n3_005_conflict,conflict,1,0,0,12.260000000000002,0.2936333333333333,61136,183408,2297,41,24666,0,0,0,0.0,89,89,0,0,0,89,0,89,19
39,3914,93,pair_015_n5_015_control,control,1,0,0,12.330000000000002,0.29347833333333334,62624,187872,2368,41,25879,0,0,0,0.0,90,90,0,0,0,90,0,90,19
40,4003,89,pair_016_n3_016_control,control,1,0,0,12.370000000000001,0.29333,64048,192144,2417,42,27066,0,0,0,0.0,91,91,0,0,0,91,0,91,19
41,4080,77,pair_012_n5_012_control,control,1,0,0,12.490000000000002,0.29320166666666664,65280,195840,2445,42,28072,0,0,0,0.0,91,91,0,0,0,91,0,91,19
42,4181,101,pair_012_n3_012_conflict,conflict,1,0,0,12.250000000000002,0.2930333333333333,66896,200688,2481,42,29501,0,0,0,0.0,93,93,0,0,0,93,0,93,19
43,4276,95,pair_009_n3_009_control,control,1,0,0,12.310000000000002,0.292875,68416,205248,2527,42,30829,0,0,0,0.0,94,94,0,0,0,94,0,94,19
44,4382,106,pair_009_n3_009_conflict,conflict,1,0,0,12.200000000000001,0.29269833333333334,70112,210336,2554,42,32303,0,0,0,0.0,94,94,0,0,0,94,0,94,19
45,4467,85,pair_014_n3_014_control,control,1,0,0,12.410000000000002,0.29255666666666663,71472,214416,2588,42,33519,0,0,0,0.0,94,94,0,0,0,94,0,94,19
46,4569,102,pair_015_n3_015_control,control,1,0,0,12.240000000000002,0.2923866666666667,73104,219312,2611,42,35009,0,0,0,0.0,94,94,0,0,0,94,0,94,19
47,4656,87,pair_017_n5_017_control,control,1,0,0,12.39,0.2922416666666667,74496,223488,2668,43,36309,0,0,0,0.0,97,97,0,0,0,97,0,97,19
48,4756,100,pair_010_n5_010_conflict,conflict,1,0,0,12.260000000000002,0.292075,76096,228288,2710,43,37836,0,0,0,0.0,97,97,0,0,0,97,0,97,19
49,4862,106,pair_017_n3_017_control,control,1,0,0,12.200000000000001,0.2918983333333333,77792,233376,2745,43,39475,0,0,0,0.0,97,97,0,0,0,97,0,97,19
50,4984,122,pair_013_n5_013_control,control,1,0,0,12.040000000000001,0.291695,79744,239232,2775,44,41338,0,0,0,0.0,97,97,0,0,0,97,0,97,19
51,5103,119,pair_015_n5_015_conflict,conflict,1,0,0,12.07,0.2914966666666667,81648,244944,2820,46,43279,0,0,0,0.0,99,99,0,0,0,99,0,99,19
52,5211,108,pair_014_n5_014_control,control,1,0,0,12.180000000000001,0.29131666666666667,83376,250128,2876,46,45070,0,0,0,0.0,99,99,0,0,0,99,0,99,19
53,5303,92,pair_002_n5_002_control,control,1,0,0,12.340000000000002,0.29116333333333333,84848,254544,2915,48,46563,0,0,0,0.0,101,101,0,0,0,101,0,101,19
54,5404,101,pair_009_n5_009_conflict,conflict,1,0,0,12.250000000000002,0.290995,86464,259392,2973,49,48171,0,0,0,0.0,106,106,0,0,0,106,0,106,21
55,5506,102,pair_000_n5_000_control,control,1,0,0,12.240000000000002,0.290825,88096,264288,3034,50,49920,0,0,0,0.0,107,107,0,0,0,107,0,107,21
56,5592,86,pair_016_n5_016_conflict,conflict,1,0,0,12.400000000000002,0.29068166666666667,89472,268416,3092,50,51362,0,0,0,0.0,108,108,0,0,0,108,0,108,21
57,5674,82,pair_011_n3_011_control,control,1,0,0,12.440000000000001,0.290545,90784,272352,3125,50,52788,0,0,0,0.0,108,108,0,0,0,108,0,108,21
58,5773,99,pair_001_n5_001_control,control,1,0,0,12.270000000000001,0.29037999999999997,92368,277104,3146,50,54469,0,0,0,0.0,108,108,0,0,0,108,0,108,21
59,5868,95,pair_014_n3_014_conflict,conflict,1,0,0,12.310000000000002,0.29022166666666666,93888,281664,3199,50,56150,0,0,0,0.0,108,108,0,0,0,108,0,108,21
60,5953,85,pair_013_n3_013_control,control,1,0,0,12.410000000000002,0.29008,95248,285744,3223,50,57684,0,0,0,0.0,108,108,0,0,0,108,0,108,21
61,6049,96,pair_007_n5_007_conflict,conflict,1,0,0,12.3,0.28992,96784,290352,3293,50,59401,0,0,0,0.0,110,110,0,0,0,110,0,110,21
62,6140,91,pair_008_n5_008_conflict,conflict,1,0,0,12.350000000000001,0.2897683333333333,98240,294720,3358,50,61083,0,0,0,0.0,110,110,0,0,0,110,0,110,21
63,6229,89,pair_008_n3_008_control,control,1,0,0,12.370000000000003,0.28962,99664,298992,3397,50,62764,0,0,0,0.0,110,110,0,0,0,110,0,110,21
64,6332,103,pair_003_n5_003_control,control,1,0,0,12.23,0.2894483333333333,101312,303936,3452,50,64724,0,0,0,0.0,111,111,0,0,0,111,0,111,21
65,6432,100,pair_017_n3_017_conflict,conflict,1,0,0,12.260000000000002,0.28928166666666666,102912,308736,3505,50,66636,0,0,0,0.0,113,113,0,0,0,113,0,113,21
66,6555,123,pair_006_n5_006_conflict,conflict,1,0,0,12.030000000000001,0.28907666666666665,104880,314640,3563,50,69066,0,0,0,0.0,116,116,0,0,0,116,0,116,21
67,6643,88,pair_002_n3_002_conflict,conflict,1,0,0,12.380000000000003,0.28892999999999996,106288,318864,3595,50,70770,0,0,0,0.0,117,117,0,0,0,117,0,117,21
68,6745,102,pair_009_n5_009_control,control,1,0,0,12.240000000000002,0.28876,107920,323760,3635,50,72833,0,0,0,0.0,119,119,0,0,0,119,0,119,21
69,6829,84,pair_004_n3_004_conflict,conflict,1,0,0,12.420000000000002,0.28862,109264,327792,3676,53,74530,0,0,0,0.0,122,122,0,0,0,122,0,122,21
70,6913,84,pair_005_n5_005_control,control,1,0,0,12.420000000000002,0.28848,110608,331824,3723,53,76221,0,0,0,0.0,123,123,0,0,0,123,0,123,21
71,7004,91,pair_013_n3_013_conflict,conflict,1,0,0,12.350000000000001,0.2883283333333333,112064,336192,3754,53,78118,0,0,0,0.0,123,123,0,0,0,123,0,123,21
72,7100,96,pair_011_n3_011_control,control,1,0,0,12.3,0.2881683333333333,113600,340800,3767,54,80093,0,0,0,0.0,124,124,0,0,0,124,0,124,21
73,7179,79,pair_010_n3_010_conflict,conflict,1,0,0,12.470000000000002,0.28803666666666666,114864,344592,3786,54,81730,0,0,0,0.0,124,124,0,0,0,124,0,124,21
74,7266,87,pair_003_n5_003_conflict,conflict,1,0,0,12.39,0.28789166666666666,116256,348768,3844,55,83590,0,0,0,0.0,127,127,0,0,0,127,0,127,21
75,7365,99,pair_008_n5_008_conflict,conflict,1,0,0,12.270000000000001,0.28772666666666663,117840,353520,3880,56,85699,0,0,0,0.0,129,129,0,0,0,129,0,129,21
76,7460,95,pair_010_n5_010_control,control,1,0,0,12.310000000000002,0.2875683333333333,119360,358080,3917,56,87753,0,0,0,0.0,131,131,0,0,0,131,0,131,21
77,7558,98,pair_002_n5_002_control,control,1,0,0,12.280000000000001,0.28740499999999997,120928,362784,3955,56,89840,0,0,0,0.0,131,131,0,0,0,131,0,131,21
78,7661,103,pair_015_n5_015_control,control,1,0,0,12.23,0.28723333333333334,122576,367728,4041,58,92208,0,0,0,0.0,134,134,0,0,1,133,0,134,21
79,7756,95,pair_006_n5_006_control,control,1,0,0,12.310000000000002,0.28707499999999997,124096,372288,4120,60,94312,0,0,0,0.0,137,137,0,0,1,136,0,137,21
80,7875,119,pair_013_n3_013_control,control,1,0,0,12.07,0.28687666666666667,126000,378000,4184,61,97073,0,0,0,0.0,139,139,0,0,1,138,0,139,21
81,7951,76,pair_014_n3_014_conflict,conflict,1,0,0,12.500000000000002,0.28675,127216,381648,4226,61,98850,0,0,0,0.0,139,139,0,0,1,138,0,139,21
82,8036,85,pair_008_n5_008_control,control,1,0,0,12.410000000000002,0.2866083333333333,128576,385728,4287,61,100871,0,0,0,0.0,141,141,0,0,2,139,0,141,21
83,8142,106,pair_011_n5_011_conflict,conflict,1,0,0,12.200000000000001,0.28643166666666664,130272,390816,4361,61,103368,0,0,0,0.0,143,143,0,0,3,140,0,143,21
84,8239,97,pair_003_n3_003_control,control,1,0,0,12.290000000000001,0.28626999999999997,131824,395472,4405,61,105767,0,0,0,0.0,145,145,0,0,3,142,0,145,23
85,8359,120,pair_007_n3_007_conflict,conflict,1,0,0,12.06,0.28607,133744,401232,4491,61,108670,0,0,0,0.0,147,147,0,0,4,143,0,147,23
86,8450,91,pair_014_n3_014_control,control,1,0,0,12.350000000000001,0.28591833333333333,135200,405600,4526,62,110935,0,0,0,0.0,148,148,0,0,4,144,0,148,23
87,8543,93,pair_010_n5_010_conflict,conflict,1,0,0,12.330000000000002,0.2857633333333333,136688,410064,4580,63,113284,0,0,0,0.0,149,149,0,0,4,145,0,149,23
88,8651,108,pair_003_n3_003_conflict,conflict,1,0,0,12.180000000000001,0.2855833333333333,138416,415248,4630,64,116090,0,0,0,0.0,152,152,0,0,4,148,0,152,23
89,8733,82,pair_008_n3_008_control,control,1,0,0,12.440000000000001,0.2854466666666667,139728,419184,4651,65,118247,0,0,0,0.0,154,154,0,0,4,150,0,154,23
90,8823,90,pair_001_n5_001_control,control,1,0,0,12.360000000000001,0.28529666666666664,141168,423504,4710,65,120536,0,0,0,0.0,156,156,0,0,4,152,0,156,23
91,8907,84,pair_003_n5_003_control,control,1,0,0,12.420000000000002,0.28515666666666667,142512,427536,4751,66,122659,0,0,0,0.0,158,158,0,0,4,154,0,158,23
92,9001,94,pair_001_n5_001_conflict,conflict,1,0,0,12.32,0.285,144016,432048,4802,66,125072,0,0,0,0.0,159,159,0,0,4,155,0,159,23
93,9098,97,pair_001_n3_001_conflict,conflict,1,0,0,12.290000000000001,0.2848383333333333,145568,436704,4848,66,127469,0,0,0,0.0,161,161,0,0,4,157,0,161,23
94,9184,86,pair_006_n3_006_conflict,conflict,1,0,0,12.400000000000002,0.284695,146944,440832,4882,66,129625,0,0,0,0.0,161,161,0,0,4,157,0,161,23
95,9256,72,pair_005_n5_005_conflict,conflict,1,0,0,12.540000000000001,0.28457499999999997,148096,444288,4912,66,131470,0,0,0,0.0,161,161,0,0,4,157,0,161,23
96,9346,90,pair_013_n5_013_control,control,1,0,0,12.360000000000001,0.284425,149536,448608,4960,66,133730,0,0,0,0.0,162,162,0,0,4,158,0,162,23
97,9464,118,pair_001_n3_001_control,control,1,0,0,12.080000000000002,0.2842283333333333,151424,454272,5025,66,136676,0,0,0,0.0,163,163,0,0,4,159,0,163,23
98,9552,88,pair_008_n3_008_conflict,conflict,1,0,0,12.380000000000003,0.2840816666666667,152832,458496,5073,66,138850,0,0,0,0.0,164,164,0,0,4,160,0,164,23
99,9647,95,pair_015_n5_015_conflict,conflict,1,0,0,12.310000000000002,0.2839233333333333,154352,463056,5126,70,141204,0,0,0,0.0,167,167,0,0,4,163,0,167,23
100,9760,113,pair_006_n5_006_conflict,conflict,1,0,0,12.13,0.28373499999999996,156160,468480,5177,70,143991,0,0,0,0.0,167,167,0,0,4,163,0,167,23
101,9876,116,pair_007_n5_007_conflict,conflict,1,0,0,12.100000000000001,0.28354166666666664,158016,474048,5263,72,146887,0,0,0,0.0,167,167,0,0,4,163,0,167,23
102,9972,96,pair_012_n3_012_conflict,conflict,1,0,0,12.3,0.28338166666666664,159552,478656,5292,72,149255,0,0,0,0.0,168,168,0,0,4,164,0,168,23
103,10101,129,pair_017_n5_017_conflict,conflict,1,0,0,11.97,0.2831666666666667,161616,484848,5345,72,152454,0,0,0,0.0,168,168,0,0,4,164,0,168,23
104,10189,88,pair_012_n3_012_control,control,1,0,0,12.380000000000003,0.28302,163024,489072,5377,72,154594,0,0,0,0.0,168,168,0,0,4,164,0,168,23
105,10289,100,pair_000_n3_000_conflict,conflict,1,0,0,12.260000000000002,0.28285333333333335,164624,493872,5414,72,157029,0,0,0,0.0,168,168,0,0,4,164,0,168,23
106,10391,102,pair_014_n5_014_conflict,conflict,1,0,0,12.240000000000002,0.28268333333333334,166256,498768,5461,72,159488,0,0,0,0.0,168,168,0,0,4,164,0,168,23
107,10490,99,pair_000_n5_000_conflict,conflict,1,0,0,12.270000000000001,0.2825183333333333,167840,503520,5493,72,161914,0,0,0,0.0,168,168,0,0,4,164,0,168,23
108,10598,108,pair_012_n5_012_conflict,conflict,1,0,0,12.180000000000001,0.2823383333333333,169568,508704,5528,72,164491,0,0,0,0.0,168,168,0,0,4,164,0,168,23
109,10702,104,pair_013_n5_013_conflict,conflict,1,0,0,12.220000000000002,0.282165,171232,513696,5552,72,166940,0,0,0,0.0,168,168,0,0,4,164,0,168,23
110,10806,104,pair_002_n3_002_control,control,1,0,0,12.220000000000002,0.28199166666666664,172896,518688,5605,72,169345,0,0,0,0.0,168,168,0,0,4,164,0,168,23
111,10916,110,pair_009_n3_009_control,control,1,0,0,12.16,0.2818083333333333,174656,523968,5632,72,171918,0,0,0,0.0,169,169,0,0,4,165,0,169,23
112,11004,88,pair_002_n5_002_conflict,conflict,1,0,0,12.380000000000003,0.28166166666666664,176064,528192,5670,72,174026,0,0,0,0.0,169,169,0,0,4,165,0,169,23
113,11148,144,pair_016_n5_016_control,control,1,0,0,11.82,0.2814216666666667,178368,535104,5742,72,177397,0,0,0,0.0,169,169,0,0,4,165,0,169,23
114,11247,99,pair_011_n5_011_control,control,1,0,0,12.270000000000001,0.28125666666666665,179952,539856,5771,72,179629,0,0,0,0.0,170,170,0,0,4,166,0,170,23
115,11332,85,pair_017_n5_017_control,control,1,0,0,12.410000000000002,0.281115,181312,543936,5818,72,181623,0,0,0,0.0,170,170,0,0,4,166,0,170,23
116,11438,106,pair_017_n3_017_control,control,1,0,0,12.200000000000001,0.28093833333333335,183008,549024,5859,72,184008,0,0,0,0.0,170,170,0,0,4,166,0,170,23
117,11547,109,pair_000_n5_000_control,control,1,0,0,12.170000000000002,0.28075666666666665,184752,554256,5894,72,186424,0,0,0,0.0,170,170,0,0,4,166,0,170,23
118,11629,82,pair_016_n3_016_control,control,1,0,0,12.440000000000001,0.28062,186064,558192,5925,72,188312,0,0,0,0.0,170,170,0,0,4,166,0,170,23
119,11730,101,pair_000_n3_000_control,control,1,0,0,12.250000000000002,0.28045166666666665,187680,563040,5977,72,190576,0,0,0,0.0,170,170,0,0,4,166,0,170,23
120,11822,92,pair_007_n3_007_control,control,1,0,0,12.340000000000002,0.2802983333333333,189152,567456,6013,72,192719,0,0,0,0.0,170,170,0,0,4,166,0,170,23
121,11915,93,pair_009_n5_009_control,control,1,0,0,12.330000000000002,0.2801433333333333,190640,571920,6068,72,194840,0,0,0,0.0,170,170,0,0,4,166,0,170,23
122,12002,87,pair_004_n5_004_control,control,1,0,0,12.39,0.27999833333333335,192032,576096,6094,72,196826,0,0,0,0.0,170,170,0,0,4,166,0,170,23
123,12100,98,pair_004_n5_004_conflict,conflict,1,0,0,12.280000000000001,0.279835,193600,580800,6122,72,199013,0,0,0,0.0,170,170,0,0,4,166,0,170,23
124,12216,116,pair_009_n3_009_conflict,conflict,1,0,0,12.100000000000001,0.2796416666666667,195456,586368,6147,72,201604,0,0,0,0.0,170,170,0,0,4,166,0,170,23
125,12309,93,pair_017_n3_017_conflict,conflict,1,0,0,12.330000000000002,0.27948666666666666,196944,590832,6185,72,203669,0,0,0,0.0,170,170,0,0,4,166,0,170,23
126,12411,102,pair_011_n3_011_conflict,conflict,1,0,0,12.240000000000002,0.27931666666666666,198576,595728,6212,72,205870,0,0,0,0.0,170,170,0,0,4,166,0,170,23
127,12519,108,pair_005_n3_005_control,control,1,0,0,12.180000000000001,0.27913666666666664,200304,600912,6290,73,208206,0,0,0,0.0,174,174,0,0,4,170,0,174,23
128,12619,100,pair_016_n3_016_conflict,conflict,1,0,0,12.260000000000002,0.27897,201904,605712,6330,73,210408,0,0,0,0.0,174,174,0,0,4,170,0,174,23
129,12715,96,pair_013_n3_013_conflict,conflict,1,0,0,12.3,0.27881,203440,610320,6391,73,212495,0,0,0,0.0,175,175,0,0,4,171,0,175,23
130,12803,88,pair_016_n5_016_conflict,conflict,1,0,0,12.380000000000003,0.2786633333333333,204848,614544,6435,73,214384,0,0,0,0.0,175,175,0,0,4,171,0,175,23
131,12880,77,pair_015_n3_015_control,control,1,0,0,12.490000000000002,0.278535,206080,618240,6457,73,216108,0,0,0,0.0,175,175,0,0,4,171,0,175,23
132,12973,93,pair_015_n3_015_conflict,conflict,1,0,0,12.330000000000002,0.27837999999999996,207568,622704,6486,73,218168,0,0,0,0.0,175,175,0,0,4,171,0,175,23
133,13051,78,pair_004_n3_004_conflict,conflict,1,0,0,12.480000000000002,0.27825,208816,626448,6528,73,219842,0,0,0,0.0,176,176,0,0,4,172,0,176,23
134,13142,91,pair_004_n3_004_control,control,1,0,0,12.350000000000001,0.27809833333333334,210272,630816,6568,73,221796,0,0,0,0.0,176,176,0,0,4,172,0,176,23
135,13242,100,pair_002_n3_002_conflict,conflict,1,0,0,12.260000000000002,0.27793166666666663,211872,635616,6595,73,224043,0,0,0,0.0,177,177,0,0,4,173,0,177,23
136,13324,82,pair_005_n5_005_control,control,1,0,0,12.440000000000001,0.277795,213184,639552,6629,73,225882,0,0,0,0.0,178,178,0,0,4,174,0,178,23
137,13403,79,pair_009_n5_009_conflict,conflict,1,0,0,12.470000000000002,0.2776633333333333,214448,643344,6682,73,227603,0,0,0,0.0,180,180,0,0,4,176,0,180,23
138,13512,109,pair_014_n5_014_control,control,1,0,0,12.170000000000002,0.2774816666666666,216192,648576,6764,74,229965,0,0,0,0.0,183,183,0,0,4,179,0,183,23
139,13595,83,pair_007_n5_007_control,control,1,0,0,12.430000000000001,0.27734333333333333,217520,652560,6838,74,231865,0,0,0,0.0,183,183,0,0,4,179,0,183,23
140,13701,106,pair_010_n3_010_control,control,1,0,0,12.200000000000001,0.2771666666666667,219216,657648,6903,75,234240,0,0,0,0.0,188,188,0,0,4,184,0,188,23
141,13797,96,pair_005_n3_005_conflict,conflict,1,0,0,12.3,0.2770066666666667,220752,662256,6955,77,236405,0,0,0,0.0,190,190,0,0,4,186,0,190,23
142,13888,91,pair_012_n5_012_control,control,1,0,0,12.350000000000001,0.27685499999999996,222208,666624,7020,78,238500,0,0,0,0.0,193,193,0,0,4,189,0,193,23
143,13991,103,pair_006_n3_006_control,control,1,0,0,12.23,0.27668333333333334,223856,671568,7095,78,240896,0,0,0,0.0,196,196,0,0,5,191,0,196,23
144,14073,82,pair_015_n3_015_conflict,conflict,1,0,0,12.440000000000001,0.27654666666666666,225168,675504,7151,78,242745,0,0,0,0.0,196,196,0,0,5,191,0,196,23
145,14175,102,pair_001_n3_001_conflict,conflict,1,0,0,12.240000000000002,0.27637666666666666,226800,680400,7213,80,245059,0,0,0,0.0,199,199,0,0,5,194,0,199,24
146,14265,90,pair_017_n5_017_conflict,conflict,1,0,0,12.360000000000001,0.2762266666666667,228240,684720,7287,83,247141,0,0,0,0.0,203,203,0,0,6,197,0,203,24
147,14344,79,pair_010_n3_010_control,control,1,0,0,12.470000000000002,0.276095,229504,688512,7335,83,248983,0,0,0,0.0,203,203,0,0,6,197,0,203,24
148,14440,96,pair_011_n5_011_conflict,conflict,1,0,0,12.3,0.275935,231040,693120,7416,83,251242,0,0,0,0.0,208,208,0,0,8,200,0,208,24
149,14535,95,pair_017_n3_017_control,control,1,0,0,12.310000000000002,0.27577666666666667,232560,697680,7487,84,253519,0,0,0,0.0,209,209,0,0,8,201,0,209,24
150,14621,86,pair_000_n3_000_conflict,conflict,1,0,0,12.400000000000002,0.27563333333333334,233936,701808,7541,84,255528,0,0,0,0.0,210,210,0,0,8,202,0,210,24
